business_postal_code,inspection_score,inspection_type,violation_description,risk_category
94118,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,,New Ownership,,
94111,,New Construction,,
94109,,New Ownership,High risk vermin infestation,High Risk
94107,,New Ownership,,
94133,,New Ownership,,
94117,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94103,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94103,,Structural Inspection,,
94121,,New Ownership,,
94107,71.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94108,85.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94107,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94111,68.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94102,84.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94132,94.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94104,,Reinspection/Followup,,
94133,81.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94118,81.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94103,,New Construction,,
94122,,Reinspection/Followup,,
94110,,New Ownership,,
94123,83.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94110,,New Ownership - Followup,,
94102,,Non-inspection site visit,,
94107,75.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94112,100.0,Routine - Unscheduled,,
94115,84.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94111,,Reinspection/Followup,,
94122,82.0,Routine - Unscheduled,Improper food storage,Low Risk
94108,,New Ownership,Improper or defective plumbing,Low Risk
94103,,Reinspection/Followup,,
94121,,Complaint,High risk vermin infestation,High Risk
94118,88.0,Routine - Unscheduled,Improper food storage,Low Risk
94122,,Complaint,Low risk vermin infestation,Low Risk
94107,,Complaint,,
94118,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94122,,New Ownership,,
94103,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94103,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,100.0,Routine - Unscheduled,,
94103,,Reinspection/Followup,,
94115,75.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94103,,Reinspection/Followup,,
94103,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94121,,Reinspection/Followup,,
94121,,New Ownership,,
