Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,101591,19971,23503,7025,50877,28556,73666,7904,490,29,856,262,504,383,46,155,431,188,358,322,148,224,60,256,5,8,1499,85.80611270296085,488,426,158
94116.0,42241,9479,10803,1373,20532,12053,30168,5006,234,72,483,422,197,461,34,239,150,104,96,23,43,98,222,219,24,7,810,83.56964006259781,305,270,89
94111.0,36923,11962,7825,2016,15077,8502,27519,9124,342,1089,114,2058,421,760,280,45,37,153,153,65,246,111,197,99,149,6,1773,87.4887048192771,623,494,193
94102.0,270699,52716,66162,3786,147674,82822,187870,10192,664,116,136,1176,803,1122,181,364,167,226,85,41,188,180,629,378,13,4,3789,86.52908067542214,1334,976,376
94131.0,35650,11749,8370,1160,14308,9180,26455,4127,136,43,181,537,108,467,54,361,58,66,40,24,64,102,141,261,3,1,549,88.52463054187191,266,133,34
94114.0,64835,17027,15379,2152,30215,16387,45996,8496,503,95,175,998,398,1154,98,716,38,135,59,22,93,177,493,397,17,0,1673,88.45829596412555,492,525,133
94121.0,52861,13226,12249,3610,23715,13315,38484,6366,337,60,385,484,293,1083,55,297,208,113,79,32,58,133,189,249,13,4,1917,84.32718579234972,680,557,256
94112.0,91487,18560,22878,2913,47004,27510,64128,7856,519,54,736,382,390,432,51,374,284,172,128,48,113,173,181,243,22,13,2333,84.85082547169812,882,657,262
94108.0,47250,17425,9407,1280,19093,10563,35730,7329,849,212,57,1008,342,1020,193,131,42,224,91,36,130,150,343,139,26,4,2009,84.74825174825175,753,588,221
94105.0,51351,15395,11689,1516,22725,12104,37056,8811,254,570,103,1943,558,670,619,51,53,156,88,38,315,129,184,134,95,10,2104,86.03782051282052,618,637,289
94107.0,86180,21556,20152,4019,40356,23311,61470,13240,615,204,285,1856,920,1331,614,344,165,245,252,267,226,272,258,605,36,11,2718,89.0963554667998,720,822,258
94123.0,42990,15960,8676,2092,16223,8990,32522,7236,514,174,117,730,371,1475,54,279,23,149,97,18,83,115,366,181,12,2,1257,86.62197802197802,481,332,118
94103.0,268352,50484,67799,4968,144811,80058,184161,14573,1278,174,311,1567,1045,1591,470,510,197,302,379,240,194,355,312,564,47,16,4868,86.28100890207715,1465,1470,605
94109.0,179000,45034,42370,3413,87933,49533,125906,11873,789,115,173,1066,700,2297,113,447,178,234,117,45,135,239,533,413,28,6,3692,85.68069398301957,1415,971,380
94115.0,84701,25213,18896,1757,38755,23257,61938,7905,508,86,142,892,392,1208,61,302,85,149,72,25,87,185,776,231,9,1,2039,86.0938999314599,648,603,239
94132.0,49791,14240,12873,2791,19733,12414,35601,3310,286,36,196,226,234,320,25,71,106,55,55,16,34,88,146,111,6,1,1068,89.68339768339769,483,262,58
94117.0,68637,18253,15640,2085,32589,18624,49857,8309,589,39,203,747,416,1549,77,600,77,111,60,46,76,192,293,402,5,2,1327,87.18415417558886,542,349,121
94110.0,163754,33314,40823,5912,83498,47735,112898,16117,1109,137,544,1481,1167,1555,208,1108,165,237,140,187,190,368,586,991,23,11,5921,86.00673249551167,2189,1731,670
94127.0,19462,6001,4676,612,8119,5109,14270,3184,192,45,176,419,112,352,48,138,35,77,38,16,42,64,158,120,14,4,596,85.11460674157303,236,169,52
94104.0,15517,5235,3288,407,6575,3277,11493,7480,190,710,51,1901,251,624,253,22,23,107,60,26,258,80,282,65,95,2,1138,86.84641638225256,411,354,121
94133.0,73803,20020,16819,2513,34373,18980,53440,7854,762,123,114,710,685,1366,122,277,92,138,124,24,118,122,132,287,20,2,3325,86.92304609218436,1411,887,242
94122.0,70512,15583,17047,3502,34288,19265,50458,8582,540,68,527,736,524,1129,63,407,203,160,111,50,73,192,372,344,27,6,2158,85.32132132132132,824,658,249
94118.0,58623,16224,14791,2014,25544,13865,42398,8585,542,97,268,918,415,1476,69,272,125,122,73,54,101,151,696,259,30,1,2633,84.06743185078909,957,752,401
94134.0,54085,10429,13787,2385,27397,16098,37797,3373,215,16,343,166,148,151,18,125,219,79,64,29,56,78,47,114,16,4,1004,83.14664804469274,343,290,144
94158.0,15535,4881,3644,868,6110,3720,11782,1165,69,33,28,115,191,220,22,26,25,12,13,12,21,24,16,28,0,0,306,88.58646616541354,43,59,20
94130.0,14839,2264,4607,1830,6121,2435,9958,642,123,0,21,41,22,5,3,1,21,5,2,21,9,28,3,23,0,1,43,91.44827586206897,14,11,1
94129.0,10203,2767,1810,3096,2403,1466,8514,837,36,112,8,131,19,17,26,2,6,15,9,6,37,10,30,40,4,2,3,100.0,0,0,0
