Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,14046,2712,3065,1083,7184,3842,10276,5386,332,16,597,167,255,301,36,16,269,113,261,241,90,91,25,161,4,4,0,,0,0,0
94116.0,5820,1243,1515,208,2852,1585,4171,3332,153,53,339,263,113,378,12,17,79,66,66,12,21,47,141,142,15,4,0,,0,0,0
94111.0,4761,1707,903,227,1924,961,3611,6853,210,824,66,1530,276,654,195,33,24,115,130,45,179,52,135,62,130,5,0,,0,0,0
94102.0,35889,7243,8586,489,19570,10531,25192,7249,448,86,84,789,472,925,109,211,108,155,59,25,133,60,429,242,10,2,0,,0,0,0
94131.0,4587,1582,1045,140,1820,1129,3392,2703,82,35,133,345,56,389,39,39,37,43,25,11,41,36,90,168,2,0,0,,0,0,0
94114.0,9034,2418,1911,458,4239,2120,6671,5542,327,65,121,635,238,947,52,106,18,73,36,8,50,63,324,259,7,0,0,,0,0,0
94121.0,7491,1668,1658,720,3443,1795,5483,4460,196,43,276,293,169,922,27,74,162,75,61,12,26,54,124,143,8,1,0,,0,0,0
94112.0,12328,2868,2916,369,6175,3286,8836,4990,296,38,479,237,200,307,18,42,147,102,85,34,44,53,114,138,12,6,0,,0,0,0
94108.0,6329,2675,1140,123,2391,1223,4882,5501,641,150,26,719,217,858,117,80,34,184,73,25,96,70,257,86,22,3,0,,0,0,0
94105.0,6573,2206,1423,170,2774,1396,4820,6411,182,394,60,1359,405,540,407,9,38,127,61,24,242,45,136,90,74,8,0,,0,0,0
94107.0,11668,3034,2571,570,5491,2869,8567,8869,390,112,188,1202,682,763,379,45,103,177,206,170,149,116,166,384,18,7,0,,0,0,0
94123.0,5953,2252,1118,353,2230,1130,4606,5089,330,138,69,467,205,1250,37,97,11,83,64,12,54,58,238,116,6,0,0,,0,0,0
94103.0,35852,7846,8458,601,18947,9764,25325,10272,966,110,210,1021,638,1227,261,139,100,228,331,173,128,154,178,371,28,6,0,,0,0,0
94109.0,24187,6370,5425,501,11889,6256,17245,8430,508,84,112,713,383,1848,66,167,126,178,93,27,72,84,369,237,15,3,0,,0,0,0
94115.0,11775,3662,2462,250,5401,2994,8717,5494,335,48,83,604,227,998,32,67,54,103,54,15,53,64,555,162,6,0,0,,0,0,0
94132.0,6834,2007,1727,431,2669,1578,4876,2238,173,32,140,139,105,281,15,3,69,27,33,8,15,27,106,66,5,0,0,,0,0,0
94117.0,9467,2541,1976,281,4660,2411,7151,5700,423,33,146,479,243,1331,54,124,49,68,36,26,45,64,201,253,3,1,0,,0,0,0
94110.0,22231,4801,5176,747,11506,6085,15673,10576,731,91,380,899,659,1285,128,170,89,150,100,116,100,153,346,648,10,6,0,,0,0,0
94127.0,2647,859,554,106,1128,653,2000,2240,123,40,134,296,65,291,33,8,26,53,30,7,26,26,105,80,8,3,0,,0,0,0
94104.0,2293,994,415,48,836,381,1800,5712,142,530,33,1507,157,532,163,14,21,85,41,18,207,36,189,41,69,2,0,,0,0,0
94133.0,10353,3096,2188,273,4796,2419,7721,5731,562,92,71,475,434,1166,73,95,61,107,100,13,73,49,90,198,8,2,0,,0,0,0
94122.0,9626,2106,2085,545,4888,2409,7092,5945,350,59,395,482,291,950,46,75,130,105,75,29,36,71,252,228,25,5,0,,0,0,0
94118.0,7843,2061,1920,272,3590,1741,5664,6333,377,79,201,643,250,1267,39,72,78,82,53,32,60,64,533,176,21,0,0,,0,0,0
94134.0,7277,1469,1809,306,3692,2012,5090,2170,115,12,219,104,73,114,10,10,140,46,41,23,27,16,31,68,10,3,0,,0,0,0
94158.0,1702,582,265,311,544,306,1381,747,34,21,18,57,122,197,11,1,13,11,10,11,13,3,8,10,0,0,0,,0,0,0
94130.0,1940,291,632,240,777,329,1249,469,114,0,10,23,11,3,0,1,11,4,1,11,5,5,1,18,0,0,0,,0,0,0
94129.0,1488,417,228,463,380,187,1277,615,13,91,6,92,12,14,18,0,3,11,6,6,30,1,22,28,2,2,0,,0,0,0
